title,author,isbn,edition,publisher,school_class,subject,section,notes,Unnamed: 9
voir avec le professeur en charge de la classe Ã  la rentrÃ©e,,,2023,,S5DE,Histoire et gÃ©ographie (franÃ§ais),DE,,
wird vom Lehrer bekannt gegeben,,,2023,,S5DE,Economie (Deutsch),DE,,
Complete Economics for Cambridge & O level,Moynihan & Titley,97890198409-700,2023,Oxford Press,S5DE,S5EN Economics,DE,,
English file Intermediate Plus (students have),Latham-Koenig,978-0194038911,2023,Oxford University Press,S5DE,L2 English,DE,,
An Inspector Calls - paper copy not digital please,J.B Priestley ,978-0141185354,2023,Penguin Modern Classics,S5DE,L2 English,DE,,
GenÃ©ration B2,Baracco et Giachino,978-2278087761,2023,Didier,S5DE,FranÃ§ais L2,DE,,
Face,Benjamin Zephaniah,978-1408894989,2023,HarperCollins Publishers,S5DE,L3 English,DE,,
Private Peaceful,Michael Morpurgo,978-0439636537,2023,Scholastic,S5DE,L3 English,DE,,
English File Intermediate (students have from last year),Latham Koenig,978-0194037419,2023,Oxford Uni Press,S5DE,L3 English,DE,,
,,,2023,,S5DE,BYOD (Bring your own device),DE,,
A la Une  2 - Livre de lÂ´Ã©lÃ¨ve,"K.Brandel, C.Jade",978-84-17260897,2023,Maison des langues,S5DE,FranÃ§ais L3,DE,,
A la Une  2 - cahier dÂ´activitÃ©s,"C.Barbera, D.Escudero",978-8417260903,2023,Maison des langues,S5DE,FranÃ§ais L3,DE,,
A la une 3 livre de l'Ã©lÃ¨ve,A.Rodriguez Tomp,978-8417260927,2023,Maison des langues,S5DE,FranÃ§ais L3,DE,,
A la une 3 cahier d'activitÃ©s,"M.Gasperi, D.Escuderos",978-8417260934,2023,Maison des langues,S5DE,FranÃ§ais L3,DE,,
Wird von der Lehrerin bekannt gegeben,,,2023,,S5DE,Religion kath. ,DE,,
Es werden diverse elektronische Bauteile benÃ¶tigt. Diese werden im Unterricht angeschafft. Pro Semester ist mit einem Betrag von bis zu 30â‚¬ zu rechnen.,,,2023,,S5DE,ICT,DE,,
Complete Economics for Cambridge & IGCSE & O Level,Moyniham & Titley,978-0198409700,2023,Oxford Uni Press,S5EN,S5EN Economics,EN,,
"Affrescoitaliano. Corso di lingua di italiano per stranieri, A2(volume)",M. Trifone â€“ A. Filippone â€“ A. Sgaglione,978-8800203326,2023,Mondadori Education Le monnier ,S5EN,ITA L4,EN,,
Students will be informed of the text book in September,,,2023,,S5EN,Maths - 6 Periods,EN,,
Resources to be provided by the teacher,,,2023,,S5EN,Maths - 4 Periods,EN,,
Calculator: NUMWORKS - this could be obtained via the teachers in September,,,2023,,S5EN,Maths,EN,,
"Geschichte und Geschehen 8, Baden-WÃ¼rttemberg",,978 3 12 443230 8,2023,Klett,S5EN,Geschichte,EN,,
Aspekte Junior B2 Kursbuch (Fortsetzung),,978-3-12-605254-2,2023,Klett,S5EN,DE L2,EN,,
Aspekte Junior B2 Ãœbungsbuch (Fortsetzung),,978-3-12-605255-9,2023,Klett,S5EN,DE L2,EN,,
Grammatik Aktiv B2-C1 (WeiterfÃ¼hrung),,978-3-06-02148-2,2023,Cornelsen,S5EN,DE L2,EN,,
Gramatik aktiv A1 - B1 (WeiterfÃ¼hrung),,978-3-06-023972-6,2023,Cornelsen,S5EN,DE L3,EN,,
Cambridge IGCSE & O Level Essential Physics: Print and Enhanced Online Student Book Pack Third Edition,Jim Breithaupt,978-1382006200,2023,Oxford University Press,S5EN,Physics,EN,,
Grade 9-1 GCSE Chemistry for AQA: Student Book with Online Edition (same book as in S4),,978-1782945963,2023,CGP Ltd,S5EN,Chemistry,EN,,
Lengua y Literatura 4Â°ESO,,978-8468039992,2023,Santillana,S5EN,Spanisch L1,EN,,
Nuevo CompaÃ±eros 3 - Kursbuch,,978-8417730512,2023,SGEL,S5EN,Spanisch L3,EN,,
Nuevo CompaÃ±eros 2 - Kursbuch,,978-8417730482,2023,SGEL,S5EN,Spanisch L4,EN,,
Cambridge IGCSE Biology Studentâ€™s Book,"Sue Kearsey, Mike Smith, Jackie Clagg and Gareth Price",978-0007592524,2023,HarperCollins Publishers,S5EN,Biology,EN,,
Cambridge IGCSE Biology Revision Guide,Letts Cambridge IGCSE,978-0008210311,2023,HarperCollins Publishers,S5EN,Biology,EN,,
"Geschichte und Geschehen 7, Baden-WÃ¼rttemberg",", wird weitergefÃ¼hrt",978 3 12 443220 9,2023,Klett,S5EN,Geschichte,EN,,
"Geschichte und Geschehen 8, Baden-WÃ¼rttemberg",,978 3 12443230 8,2023,Klett,S5EN,Geschichte,EN,,
Wird vom Lehrer bekannt gegeben.,,,2023,,S5EN,Geografie (Deutsch),EN,,
Students will be informed of the text book,,,2023,,S5EN,Geography (English),EN,,
voir avec le professeur en charge de la classe Ã  la rentrÃ©e,,,2023,,S5EN,Histoire et gÃ©ographie (franÃ§ais),EN,,
A Dollâ€™s HouseÂ ,Henrik IbsenÂ ,978-1350116788,2023,"Methuen Drama\; 3rd edition, Paperback",S5EN,L1 English,EN,,
The Hunger Games (1),Suzanne CollinsÂ ,978-1-4071-3208-2,2023,Scholastic Ltd.\, 1st edition,S5EN,L1 English,EN,
A Study in Scarlet â€“ Sir Arthur Conan DoyleÂ ,PDF - will be available on TEAMS,,2023,Project Gutenberg - e-book,S5EN,L1 English,EN,,
The Curious Incident of the Dog in the Night-Time,copies available at school,,2023,,S5EN,L1 English,EN,,
An Inspector Calls - paper copy not digital please,J.B Priestley ,978-0141185354,2023,Penguin Modern Classics,S5EN,English L2,EN,,
English file Intermediate Plus,Latham-Koenig,978-0194038911,2023,Oxford University Press,S5EN,L2 English,EN,,
GenÃ©ration B2 ,"Baracco, Giachino",978-2278087761,2023,Didier,S5EN,FranÃ§ais L2,EN,,
A la Une  2 - Livre de lÂ´Ã©lÃ¨ve,"K.Brandel, C.Jade",978-84-17260897,2023,Maison des langues,S5EN,FranÃ§ais L3,EN,,
A la Une  2 - Cahier dÂ´activitÃ©s,"C.Barbera, D.Escudero",978-8417260903,2023,Maison des langues,S5EN,FranÃ§ais L3,EN,,
A la une 3 - Livre de l'Ã©lÃ¨ve,A.Rodriguez Tomp,978-8417260927,2023,Maison des langues,S5EN,FranÃ§ais L3,EN,,
A la une 3 - Cahier d'activitÃ©s,"M.Gasperi, D.Escuderos",978-8417260934,2023,Maison des langues,S5EN,FranÃ§ais L3,EN,,
Barndommens Gade,Tove Ditlevsen,978-8775332519,2023,,S5EN,Dansk L1 (Danish),EN,,
"Dante Alighieri, La Divina Commedia",Jacomuzzi,978-8805076321,2023,SEI,S5EN,ITA L1 (NON FORMATA),EN,,
"Autofiktion, Dansk i dybden",Jimmi Michelsen,978-8702203127,2023,,S5EN,Dansk L1 (Danish),EN,,
,,,2023,,S5EN,BYOD (Bring your own device),EN,,
"Titel : ""prima. kompakt"" ",Clement Utz und  Andrea Kammerer,978-3-661-41500-0.,2023,,S5EN,Latein S2 und S3,EN,,
No textbook required,,,2023,,S5EN,Ethics,EN,,
Es werden diverse elektronische Bauteile benÃ¶tigt. Diese werden im Unterricht angeschafft. Pro Semester ist mit einem Betrag von bis zu 30â‚¬ zu rechnen.,,,2023,,S5EN,ICT,EN,,
PAS DE LIVRE,,,2023,,S5FR,BIOLOGIE,FR,,
"Affrescoitaliano. Corso di lingua di italiano per stranieri, A2(volume)",M. Trifone â€“ A. Filippone â€“ A. Sgaglione,978-8800203326,2023,2007 (I ed.),S5FR,ITA L4,FR,,
PAS DE LIVRE,,,2023,,S5FR,MATHS 4P,FR,,
PAS DE LIVRE,,,2023,,S5FR,MATHS 6P,FR,,
Calculatrice Numworks,,,2023,,S5FR,MATHS 4P & 6P,FR,,
Aspekte Junior B2 Kursbuch (WeiterfÃ¼hrung),,978-3-12-605254-2,2023,Klett,S5FR,DE L2,FR,,
Aspekte Junior B2 Ãœbungsbuch (WeiterfÃ¼hrung),,978-3-12-605255-9,2023,Klett,S5FR,DE L2,FR,,
Grammatik Aktiv B2-C1,,978-3-06-02148-2,2023,Cornelsen,S5FR,DE L2,FR,,
Gramatik aktiv A1 - B1 (WeiterfÃ¼hrung),,978-3-06-023972-6,2023,Cornelsen,S5FR,DE L3,FR,,
Lengua y Literatura 4Â°ESO,,978-8468039992,2023,Santillana,S5FR,Spanisch L1,FR,,
Nuevo CompaÃ±eros 3 - Kursbuch,,978-8417730512,2023,SGEL,S5FR,Spanisch L3,FR,,
Nuevo CompaÃ±eros 2 - Kursbuch,,978-8417730482,2023,SGEL,S5FR,Spanisch L4,FR,,
Wird vom Lehrer bekannt gegeben.,,,2023,,S5FR,Geografie (Deutsch),FR,,
"Geschichte und Geschehen 8, Baden-WÃ¼rttemberg",,978 3 12 443230 8,2023,Klett,S5FR,Geschichte,FR,,
Students will be informed of the text book,,,2023,,S5FR,Geography English,FR,,
"Geschichte und Geschehen 7, Baden-WÃ¼rttemberg /WeiterfÃ¼hrung)",,978 3 12 443220 9,2023,Klett,S5FR,Geschichte,FR,,
